ADAMS COUNTY - 01,400 N MAIN ST,"FRIENDSHIP, WI  53934",(608) 339-4200,cphillippi@co.adams.wi.us
ASHLAND COUNTY - 02,COURTHOUSE W MAIN ST RM 202,"ASHLAND, WI  54806",(715) 682-7001,pat.somppi@co.ashland.wi.us
BARRON COUNTY - 03,330 E LASALLE AVE RM 2130,"BARRON, WI  54812",(715) 537-6200,deeann.cook@co.barron.wi.us
BAYFIELD COUNTY - 04,PO BOX 878,"WASHBURN, WI  54891",(715) 373-6100,sfibert@bayfieldcounty.org
BROWN COUNTY - 05,NORTH BUILDING 305 E WALNUT ST,"GREEN BAY, WI  54305",(920) 448-4021,marcelle_dk@co.brown.wi.us
BUFFALO COUNTY - 06,407 S 2ND ST,"ALMA, WI  54610",(608) 685-6209,roxann.halverson@buffalocounty.com
BURNETT COUNTY - 07,7410 CTY RD K # 105,"Siren, WIÊ 54872",(715) 349-2173,whinrichs@burnettcounty.org
CALUMET COUNTY - 08,206 COURT ST,"CHILTON, WI  53014",(920) 849-1458,hauser.beth@co.calumet.wi.us
CHIPPEWA COUNTY - 09,COURTHOUSE 711 N BRIDGE ST,"CHIPPEWA FALLS, WI  54729-1876",(715) 726-7985,kbernier@co.chippewa.wi.us
CLARK COUNTY - 10,517 COURT ST RM 301,"NEILLSVILLE, WI  54456",(715) 743-5150,christina.jensen@co.clark.wi.us
COLUMBIA COUNTY - 11,400 DEWITT STREET,"PORTAGE, WI  53901",(608) 742-9654,sue.moll@co.columbia.wi.us
CRAWFORD COUNTY - 12,225 N BEAUMONT RD STE 210,"PRAIRIE DU CHIEN, WI  53821",608-326-0200,jgeisler@crawfordcountywi.org
DANE COUNTY - 13,210 MARTIN LUTHER KING JR BLVD,"MADISON, WI  53703",(608) 266-4122,peters@co.dane.wi.us
DODGE COUNTY - 14,127 E OAK ST ADMINISTRATION BLDG,"JUNEAU, WI  53039",(920) 386-3602,jheller@co.dodge.wi.us
DOOR COUNTY - 15,421 NEBRASKA ST,"STURGEON BAY, WI  54235",(920) 746-2200,jlau@co.door.wi.us
DOUGLAS COUNTY - 16,1313 BELKNAP ST RM 101,"SUPERIOR, WI  54880",(715) 395-1568,sue.sandvick@douglascountywi.org
DUNN COUNTY - 17,800 WILSON AVENUE,"MENOMONIE, WI  54751",(715) 232-1677,mhoyt@co.dunn.wi.us
EAU CLAIRE COUNTY - 18,721 OXFORD AVE,"EAU CLAIRE, WI  54703",(715) 839-4803,janet.loomis@co.eau-claire.wi.us
FLORENCE COUNTY - 19,COURTHOUSE 501 LAKE ST,"FLORENCE, WI  54121",(715) 528-3201,jmeyer@co.florence.wi.us
FOND DU LAC COUNTY - 20,160 S. Macy Street - 1st Floor,"FOND DU LAC, WI  54936-1557",(920) 929-3008,lisa.freiberg@fdlco.wi.gov
FOREST COUNTY - 21,200 E MADISON STREET,"CRANDON, WI  54520",(715) 478-2422,amihalko@co.forest.wi.us
GRANT COUNTY - 22,111 S JEFFERSON ST P.O. BOX 529,"LANCASTER, WI  53813",(608) 723-2675,lgebhard@co.grant.wi.gov
GREEN COUNTY - 23,COURTHOUSE SQ 1016 16TH AVE,"MONROE, WI  53566",(608) 328-9430,mdoyle@greencountywi.org
GREEN LAKE COUNTY - 24,492 HILL ST,"GREEN LAKE, WI  54941-3188",(920) 294-4007,lotto@co.green-lake.wi.us
IOWA COUNTY - 25,COUNTY CLERK 222 N IOWA STREET,"DODGEVILLE, WI  53533",(608) 935-0399,greg.klusendorf@iowacounty.org
IRON COUNTY - 26,300 TACONITE STREET SUITE 101,"HURLEY, WI  54534",(715) 561-3375,clerk@ironcountywi.org
JACKSON COUNTY - 27,COURTHOUSE 307 MAIN STREET,"Black River Falls, WIÊ 54615",(715) 284-0268,kyle.deno@co.jackson.wi.us
